command,mean,stddev,median,user,system,min,max,parameter_p
./rust_for/target/release/rust_for 4,0.0004801191351001676,0.00007321655740826498,0.0004676515749999998,0.0006007833889816358,0.0005232681886477462,0.000320284575,0.0014431595749999997,4
./rust_simd/target/release/rust_simd 4,0.000496348760654008,0.00008498648788910878,0.0004835385749999998,0.0006191751054852324,0.0005096773839662442,0.00034101457500000003,0.001258368575,4
./rust_for/target/release/rust_for 5,0.0007867409742133723,0.00008278810369279598,0.0007725355749999998,0.0008031445427728607,0.0006552014060963619,0.0006307445749999998,0.001276688575,5
./rust_simd/target/release/rust_simd 5,0.000751206763420019,0.00009966246154285847,0.0007296345749999997,0.0007823390578999016,0.0006331616094210013,0.0005391835749999998,0.0013455795749999998,5
./rust_for/target/release/rust_for 6,0.003888917936054766,0.0001901288926718757,0.003857223575,0.0021623965517241378,0.002254423894523327,0.003540959575,0.005011062575000001,6
./rust_simd/target/release/rust_simd 6,0.0034195507697483613,0.00021104740437897967,0.0033709885750000004,0.001621398249452953,0.0024880287308533906,0.003025305575,0.004659984575,6
./rust_for/target/release/rust_for 7,0.03672715902236842,0.0004545672354243293,0.036728237075,0.017538986842105253,0.019040377368421058,0.035661366575,0.037629795575,7
./rust_simd/target/release/rust_simd 7,0.0334940113514706,0.000975377852866755,0.033998476575,0.013030264705882349,0.020324135882352937,0.031495203575,0.037000953575,7
./rust_for/target/release/rust_for 8,0.36670063137500003,0.004054273556309141,0.36649994757500004,0.19479230000000003,0.17137333,0.359838291575,0.37504494657500004,8
./rust_simd/target/release/rust_simd 8,0.326744470575,0.0024201791545414887,0.327283056075,0.143171,0.18300653,0.320970499575,0.32962702157500007,8
