min,mean,max,param
6.540807453416149e-7,7.192940583850932e-7,1.253583850931677e-6,10000
1.4315e-6,1.5571427000000002e-6,5.0759e-6,20000
2.505555555555556e-6,2.711581344444444e-6,7.4451111111111115e-6,30000
3.819625e-6,4.1070599625000004e-6,1.015575e-5,40000
5.4345e-6,5.819114516666665e-6,1.4322833333333335e-5,50000
6.7972e-6,7.302205699999998e-6,1.66148e-5,60000
8.250333333333335e-6,8.885951566666668e-6,2.3679e-5,70000
9.441e-6,1.02069199e-5,4.3121e-5,80000
1.0571e-5,1.16578006e-5,4.5396e-5,90000
1.1966e-5,1.30801841e-5,4.6125e-5,100000
0.003315303,0.0034278838437285814,0.004238783,10000000
0.006818163,0.006954022727399166,0.007616595,20000000
0.010414576,0.010666308063965886,0.012299145,30000000
0.013715188,0.014089583687323944,0.015440283,40000000
0.017040013,0.01742142189198606,0.020123092,50000000
0.020570331,0.020943640870292886,0.022193298,60000000
0.02404173,0.024403761092682927,0.025153538,70000000
0.027616642,0.02807127068715084,0.032221092,80000000
0.031216768,0.031542311012578615,0.032920914,90000000
0.034608497,0.03506675351748252,0.036285963,100000000
