min,mean,max,param
8.893e-6,9.042455900000002e-6,2.7607333333333332e-5,10000
1.7825e-5,1.8107031e-5,6.0449e-5,20000
2.6743e-5,2.7203730899999998e-5,8.0834e-5,30000
3.5648e-5,3.6224919199999994e-5,0.00010469,40000
4.4563e-5,4.5391552600000006e-5,0.000114058,50000
5.3479e-5,5.4442510900000004e-5,0.000139484,60000
6.2398e-5,6.35685988e-5,0.000177658,70000
7.1305e-5,7.256980740000001e-5,0.000190305,80000
8.0201e-5,8.1838997e-5,0.000205394,90000
8.9115e-5,9.10212873e-5,0.000237265,100000
0.009725064,0.00990066556039604,0.010800582,10000000
0.019467859,0.0197937141541502,0.020901868,20000000
0.029259937,0.029669369313609466,0.030512952,30000000
0.039083037,0.0395442539527559,0.040390727,40000000
0.048859959,0.04956410756435644,0.051932102,50000000
0.058666885,0.05936495844705883,0.060686866,60000000
0.068585769,0.0692401887260274,0.070061715,70000000
0.07846992,0.079309355921875,0.080976811,80000000
0.088323543,0.0891478513508772,0.09024151,90000000
0.098085983,0.09921652719607843,0.100905028,100000000
