min,mean,max,param
6.319878048780488e-7,7.112292036585365e-7,8.408231707317073e-7,10000
1.2111e-6,1.42493753e-6,3.281e-6,20000
2.5495555555555557e-6,2.819185755555555e-6,6.081222222222222e-6,30000
3.804375e-6,4.2888235500000004e-6,1.0030125e-5,40000
5.076714285714285e-6,5.607636885714287e-6,1.3814285714285713e-5,50000
6.256e-6,7.0762781799999995e-6,1.77628e-5,60000
7.57425e-6,8.374261525e-6,1.8968e-5,70000
8.789666666666666e-6,9.692734533333334e-6,1.8483666666666667e-5,80000
9.723e-6,1.0992898199999999e-5,4.8213e-5,90000
1.0904e-5,1.22980044e-5,4.7883e-5,100000
0.003346022,0.0034124870218430036,0.004259374,10000000
0.006758957,0.006922966878284924,0.007244838,20000000
0.010363423,0.010555996265822785,0.011609441,30000000
0.013651555,0.01384157429281768,0.014995969,40000000
0.016931381,0.01720400993127148,0.018355766,50000000
0.020306948,0.020612542580246914,0.021167877,60000000
0.023735791,0.02406973903846154,0.024771767,70000000
0.027243552,0.027551548192307693,0.028353083,80000000
0.030682904,0.031018486432098764,0.031439562,90000000
0.034204821,0.03450704635862069,0.035138179,100000000
