name,min,max,mean,stddev,median,iqr,outliers,ops,rounds,iterations
sum.py::test_np_sum_10000,6.295998900895938e-06,3.9529000787297264e-05,6.697193559430499e-06,8.356920346623114e-07,6.64399703964591e-06,1.1300289770588279e-07,112;821,149316.27570952807,18817,1
sum.py::test_np_sum_20000,1.0627001756802201e-05,4.447299943421967e-05,1.1309297449928494e-05,1.1710461662511563e-06,1.1205996997887269e-05,2.47997377300635e-07,416;901,88422.82241027472,45834,1
sum.py::test_np_sum_30000,1.5000001440057531e-05,5.887299994355999e-05,1.5816185647538425e-05,1.4608383577707705e-06,1.5644996892660856e-05,3.2900061341933906e-07,452;788,63226.36963708355,36936,1
sum.py::test_np_sum_40000,1.9254999642726034e-05,6.564299837918952e-05,2.0289411922637075e-05,1.8247209861447484e-06,2.0037998183397576e-05,4.720022843685001e-07,428;533,49286.79075632997,28622,1
sum.py::test_np_sum_50000,2.3591997887706384e-05,7.012399873929098e-05,2.487780611737256e-05,1.774395992859894e-06,2.4554999981774017e-05,5.987512849969789e-07,429;522,40196.47051199119,24747,1
sum.py::test_np_sum_60000,2.7797999791800976e-05,8.77619968377985e-05,2.966876037896442e-05,3.1806345086260657e-06,2.8886999643873423e-05,7.630005711689591e-07,849;1158,33705.48641826689,21882,1
sum.py::test_np_sum_70000,3.2046998967416584e-05,8.840100053930655e-05,3.394350797574624e-05,2.7837828862092247e-06,3.380000271135941e-05,9.040049917530268e-07,352;513,29460.714570648768,16578,1
sum.py::test_np_sum_80000,3.609100167523138e-05,9.676099944044836e-05,3.8282636807906825e-05,2.750176823310871e-06,3.821700011030771e-05,1.0000003385357559e-06,369;487,26121.50268064769,17129,1
sum.py::test_np_sum_90000,4.0349001210415736e-05,0.00011308100147289224,4.268173988924351e-05,2.786981840757275e-06,4.262499714968726e-05,1.0700023267418146e-06,328;447,23429.222955646575,15202,1
sum.py::test_np_sum_100000,4.450100095709786e-05,0.00011310999980196357,4.725228252816626e-05,2.7566402539086095e-06,4.713399903266691e-05,3.8299549487419426e-07,295;4701,21162.998832996425,14134,1
sum.py::test_np_sum_10000000,0.005307186998834368,0.006827903001976665,0.005545162146918917,0.00018850682013122567,0.005514688000403112,0.00015015724966360722,18;10,180.3373776104337,177,1
sum.py::test_np_sum_20000000,0.01070452100248076,0.013162822000595042,0.011095693891468767,0.0003781764971773803,0.010993769001288456,0.00025730900051712524,11;8,90.12505299635906,92,1
sum.py::test_np_sum_30000000,0.01600660800249898,0.01741394000055152,0.01644844319326371,0.0002532259896488031,0.016394239501096308,0.00027549999867915176,12;2,60.796027213659926,62,1
sum.py::test_np_sum_40000000,0.021658968998963246,0.022854131002532085,0.02201600167395752,0.0002958559547963229,0.021908112499659183,0.00029397200341918506,11;4,45.42150817434251,46,1
sum.py::test_np_sum_50000000,0.027094704000774072,0.028482355002779514,0.027618968918997434,0.0003649393920736932,0.027505164998729015,0.0005971687496639788,15;0,36.20699972301138,37,1
sum.py::test_np_sum_60000000,0.03262224400168634,0.0341383169979963,0.033016222366859437,0.00035741589484722993,0.03287126100076421,0.0004612890006683301,8;1,30.288141050436042,30,1
sum.py::test_np_sum_70000000,0.03795658599847229,0.03933401399990544,0.03852293780801119,0.0003345809204246644,0.038458223001725855,0.000417254999774741,7;0,25.95856019558407,26,1
sum.py::test_np_sum_80000000,0.04390252500161296,0.04649643200173159,0.044548132273121155,0.0005784492414805589,0.0444730615017761,0.0004933439995511435,4;2,22.44763021419343,22,1
sum.py::test_np_sum_90000000,0.048939536998659605,0.05215603499891586,0.04955018914292201,0.0008230436968821691,0.04914730199743644,0.000621304751803109,3;3,20.181557675100116,21,1
sum.py::test_np_sum_100000000,0.05478112200216856,0.05572114699680242,0.05530370284223433,0.0002591155975999406,0.055329885999526596,0.00037202200201136293,8;0,18.081971886271603,19,1
