command,mean,stddev,median,user,system,min,max,parameter_size
./rust_peroxide/target/release/rust_peroxide 100 100,0.0007724923463330306,0.00008622715513275137,0.00076056238,0.0007282501683348501,0.0006506051319381255,0.0005735343799999999,0.0012395823800000001,100
./rust_o3/target/release/rust_o3 100 100,0.0025147469380357138,0.001830439744469359,0.00226967588,0.007925824479166668,0.0072020715252976274,0.0021534993800000003,0.04476502838,100
./cpp_eigen3_default/bin/matmul 100 100,0.0012174814322727285,0.00015956841169429155,0.00120067788,0.0010519167500000002,0.000780514068181819,0.0009684213799999999,0.0034777113800000003,100
./cpp_eigen3_blas/bin/matmul 100 100,0.0029536495050000045,0.0009161840069522495,0.0026212863800000002,0.005376736479430377,0.0022831515981012658,0.00240856138,0.018379816380000004,100
python python_numpy/matmul.py 100 100,0.08820737665272729,0.0020685896596517334,0.08765630538000001,0.17103181227272723,0.013554371666666665,0.08535911438,0.09290517738000001,100
julia -O0 --startup-file=no --compile=min julia/matmul.jl 100 100,0.11467894714923078,0.0019628181242481394,0.11481868138000001,0.08499400807692307,0.03707435884615385,0.11103339438000001,0.11796094238000002,100
./nim_arraymancer/nim_arraymancer 100 100,0.0027013930507317095,0.000499199799172469,0.0025799938800000004,0.004017901089939026,0.002220054390243902,0.0023848223799999998,0.01030386238,100
./rust_peroxide/target/release/rust_peroxide 200 200,0.0018046290832520338,0.00013893641391507882,0.00181539238,0.0013991889566395655,0.0009349419376693764,0.0015065513799999999,0.00218588538,200
./rust_o3/target/release/rust_o3 200 200,0.0045068191931212755,0.0029197311267774744,0.004065380380000001,0.013730457246520875,0.02089604808151092,0.0032012673800000005,0.05926404138,200
./cpp_eigen3_default/bin/matmul 200 200,0.0031375646538515894,0.0002684074776885514,0.00317266288,0.0023644734098939905,0.0011925698586572433,0.00256762238,0.0038008203800000005,200
./cpp_eigen3_blas/bin/matmul 200 200,0.003442126245107913,0.0002839411668779699,0.00338417288,0.006357308767985608,0.0030631127607913668,0.00320360838,0.00690295738,200
python python_numpy/matmul.py 200 200,0.09398651879935485,0.0025153062986978327,0.09314072038000001,0.18667189145161284,0.014954562741935486,0.09075742038000001,0.10111674638000001,200
julia -O0 --startup-file=no --compile=min julia/matmul.jl 200 200,0.11971468208833336,0.0016037013733736587,0.11996356588000001,0.08838408499999999,0.044614455,0.11726470838000001,0.12415996538,200
./nim_arraymancer/nim_arraymancer 200 200,0.004101054696258349,0.0009738302411485317,0.00401745138,0.005851726770601334,0.0028550787639198233,0.00369981438,0.022219058380000004,200
./rust_peroxide/target/release/rust_peroxide 300 300,0.004147294314736844,0.0003719484590571797,0.00424261238,0.0031284041578947394,0.0012752976315789472,0.0033208873800000004,0.00487618538,300
./rust_o3/target/release/rust_o3 300 300,0.007804261738208958,0.0005168531348769364,0.00788088238,0.028843583507462675,0.03962240350746269,0.0063471373799999994,0.01166315438,300
./cpp_eigen3_default/bin/matmul 300 300,0.0071195159057352965,0.0005528368062463292,0.0072173468799999994,0.005633254117647059,0.0015701983272058814,0.006029993379999999,0.00899403638,300
./cpp_eigen3_blas/bin/matmul 300 300,0.00503932079284404,0.00134605184700347,0.00484989938,0.010704840573394504,0.004204550619266059,0.00434960838,0.020077796380000002,300
python python_numpy/matmul.py 300 300,0.09889785281333331,0.003558783663152454,0.09806562438000001,0.1938312183333333,0.02297117166666667,0.09231203438,0.10666272238,300
julia -O0 --startup-file=no --compile=min julia/matmul.jl 300 300,0.12382683321333338,0.004915889081256314,0.12313422338000002,0.09961025166666666,0.04798070499999999,0.11726664138000001,0.13951243938,300
./nim_arraymancer/nim_arraymancer 300 300,0.0056145354554716954,0.0024207306893306727,0.00534592138,0.008622649139150944,0.005151578620283017,0.00498989738,0.04797728538,300
./rust_peroxide/target/release/rust_peroxide 400 400,0.007892129624514105,0.0006233876031057613,0.00802697338,0.005883841755485896,0.0020985359404388725,0.006454169379999999,0.00956485938,400
./rust_o3/target/release/rust_o3 400 400,0.012682111671479816,0.001580230517071855,0.01248818138,0.0488867441928251,0.07354993818385647,0.01035119538,0.027924948380000002,400
./cpp_eigen3_default/bin/matmul 400 400,0.01541232732186047,0.0006163555718667322,0.015535460380000001,0.012916910581395361,0.0025318846220930224,0.01217989538,0.016021034380000004,400
./cpp_eigen3_blas/bin/matmul 400 400,0.007258465813544307,0.0024024040133853496,0.00688561088,0.01783450110759492,0.0047813764240506335,0.00612577238,0.04460321438,400
python python_numpy/matmul.py 400 400,0.10157982351793102,0.002745646035735653,0.10145071038000002,0.20360284362068962,0.029446049827586206,0.09733103738000001,0.10896426738000001,400
julia -O0 --startup-file=no --compile=min julia/matmul.jl 400 400,0.12577971238,0.0037990798847719748,0.12507378338,0.10087295456521739,0.05393005282608695,0.11904461538000001,0.13188044238,400
./nim_arraymancer/nim_arraymancer 400 400,0.008957916690954063,0.000977747310076203,0.00870374438,0.013195443621908123,0.006755255123674907,0.00806276238,0.02041267038,400
./rust_peroxide/target/release/rust_peroxide 500 500,0.012982706002549017,0.0008076485211661942,0.01321094138,0.01039640362745098,0.0025896127941176473,0.01088346738,0.01464198738,500
./rust_o3/target/release/rust_o3 500 500,0.018066901745384615,0.0008565292566976452,0.018100799380000004,0.07419173243589745,0.1124595575641025,0.016425178380000002,0.02056872238,500
./cpp_eigen3_default/bin/matmul 500 500,0.027493690098181818,0.000547847672192161,0.027570547880000004,0.024648903181818175,0.002835982909090909,0.023316217380000004,0.028500792380000004,500
./cpp_eigen3_blas/bin/matmul 500 500,0.010334708539362547,0.0007931296777555301,0.01028894038,0.02726820019920321,0.006477333745019916,0.00887766938,0.013479904380000001,500
python python_numpy/matmul.py 500 500,0.10767098504666668,0.0037386916329681017,0.10649082138000002,0.22070504796296295,0.03807500129629629,0.10266949938000001,0.11554337438000001,500
julia -O0 --startup-file=no --compile=min julia/matmul.jl 500 500,0.12841618683454545,0.004107971282243598,0.12852693088,0.10689631227272728,0.06605843227272729,0.12127707238000002,0.13448401238,500
./nim_arraymancer/nim_arraymancer 500 500,0.014022252993065334,0.000885622412670051,0.01398981138,0.022877416658291457,0.009606860854271355,0.01268253938,0.01706165038,500
./rust_peroxide/target/release/rust_peroxide 600 600,0.020584948199444453,0.00115510274594412,0.020830965380000004,0.017150522499999998,0.003407938125,0.01660812638,0.022205383380000002,600
./rust_o3/target/release/rust_o3 600 600,0.025552980080854708,0.0044920395508219425,0.024950666380000004,0.11998100807692309,0.15243024346153838,0.022975910380000002,0.06630582538,600
./cpp_eigen3_default/bin/matmul 600 600,0.04241236215142856,0.0017329519369774899,0.042898635379999994,0.03869565642857143,0.0036692506428571436,0.03662250638,0.04485197438,600
./cpp_eigen3_blas/bin/matmul 600 600,0.01421294103989848,0.001967913118695046,0.01388253438,0.04135636926395938,0.007976447766497467,0.012261732380000001,0.02731599838,600
python python_numpy/matmul.py 600 600,0.11101889911076926,0.004126180712646157,0.10963167338000002,0.2365428926923077,0.045588012692307694,0.10557587738000002,0.12379147238,600
julia -O0 --startup-file=no --compile=min julia/matmul.jl 600 600,0.13265143298869567,0.011495519656317552,0.13146714638,0.13133686760869565,0.07023896586956523,0.12313555738000002,0.18330169938000002,600
./nim_arraymancer/nim_arraymancer 600 600,0.019911258393698627,0.003294651692626408,0.01914053988,0.037586537054794505,0.01082225215753424,0.01726533938,0.04795547938,600
./rust_peroxide/target/release/rust_peroxide 700 700,0.030279686659569913,0.001875026188758052,0.030755502380000004,0.025820074247311822,0.004373805107526881,0.025711826380000004,0.03336739238,700
./rust_o3/target/release/rust_o3 700 700,0.033463649858260884,0.001387104177222124,0.03294607338,0.16515240021739128,0.20139902021739128,0.030438664380000004,0.03675078138,700
./cpp_eigen3_default/bin/matmul 700 700,0.06347541078816327,0.0019458703340436783,0.06427125938000001,0.05801312581632651,0.005265288469387755,0.05763852238,0.06549020938000001,700
./cpp_eigen3_blas/bin/matmul 700 700,0.018821859051140942,0.0012159087114746927,0.01861306638,0.06252509842281878,0.009020767046979862,0.016819766380000004,0.025314698380000004,700
python python_numpy/matmul.py 700 700,0.11501522330000002,0.0029291194914583393,0.11437521438,0.253810565,0.047351424999999996,0.11065536638000001,0.12084615338000002,700
julia -O0 --startup-file=no --compile=min julia/matmul.jl 700 700,0.13479044592545456,0.0027410177347863152,0.13522148237999998,0.13788999409090907,0.06957211409090908,0.12850753838,0.13986050038,700
./nim_arraymancer/nim_arraymancer 700 700,0.02507314938,0.001652104690231557,0.024733190380000006,0.05605029333333332,0.012770504999999996,0.022563982380000003,0.03393042238,700
./rust_peroxide/target/release/rust_peroxide 800 800,0.04340377671333333,0.0012780792005538703,0.04357188438,0.03784759293650793,0.005436837698412698,0.03876268538,0.04544645338,800
./rust_o3/target/release/rust_o3 800 800,0.043041206643888906,0.00139232737393589,0.042527930879999995,0.21709265444444445,0.2631476633333333,0.03958676938,0.04697870638,800
./cpp_eigen3_default/bin/matmul 800 800,0.09361789510727273,0.002467995017767714,0.09437803738000002,0.08842560015151517,0.005049001060606059,0.08417235438000001,0.09595728938,800
./cpp_eigen3_blas/bin/matmul 800 800,0.024338384221269847,0.002014928557413319,0.023972072380000004,0.0883614342063492,0.010009499166666665,0.02145206238,0.03328582638,800
python python_numpy/matmul.py 800 800,0.12175605892166667,0.003720629953202428,0.12245522588000002,0.27520591833333335,0.06641778833333332,0.11599670238000001,0.12935924438,800
julia -O0 --startup-file=no --compile=min julia/matmul.jl 800 800,0.13861557014190473,0.006118347264383878,0.13583763038,0.15815503738095235,0.0877904669047619,0.13341192338,0.15887799738,800
./nim_arraymancer/nim_arraymancer 800 800,0.033521522200224724,0.003643140895638855,0.03234678538,0.08456447825842696,0.016615191460674146,0.029700540380000005,0.04818530638,800
./rust_peroxide/target/release/rust_peroxide 900 900,0.06071600942166669,0.003025772594845406,0.06100448638,0.053502376666666664,0.007060327604166665,0.05146397738,0.06646794738,900
./rust_o3/target/release/rust_o3 900 900,0.056213298507272746,0.009290946381687246,0.05427183838,0.29549486681818177,0.337417905,0.05179930438,0.12013944638000001,900
./cpp_eigen3_default/bin/matmul 900 900,0.126343177505,0.0034355983105517052,0.12626505738,0.11930487666666668,0.006845425624999999,0.12122774238000002,0.13277553338,900
./cpp_eigen3_blas/bin/matmul 900 900,0.030896020016363646,0.0016578848416611265,0.030716735380000002,0.12113434762626261,0.012653841111111109,0.028149049380000003,0.03826323838,900
python python_numpy/matmul.py 900 900,0.13023946120608693,0.004514453219700389,0.12922521238,0.32162756326086955,0.08419648760869565,0.12345943138000003,0.14059385638,900
julia -O0 --startup-file=no --compile=min julia/matmul.jl 900 900,0.14185348661809524,0.0030812079210240273,0.14229950938,0.17595518023809523,0.09465965738095236,0.13647502638,0.14553546538,900
./nim_arraymancer/nim_arraymancer 900 900,0.04648812351846153,0.006380612126690038,0.04356091938,0.12845911576923078,0.021020705000000004,0.03994221638,0.06903108838000001,900
./rust_peroxide/target/release/rust_peroxide 1000 1000,0.07797864825500003,0.003403189508280409,0.07793859138,0.067698285,0.010057037375000001,0.06953667838000001,0.08235163438000001,1000
./rust_o3/target/release/rust_o3 1000 1000,0.06697566444666667,0.0015516506864938061,0.06671626938000001,0.3623556405555556,0.3987524605555556,0.06436203538000002,0.07468829738,1000
./cpp_eigen3_default/bin/matmul 1000 1000,0.17314354385058828,0.003326483458060462,0.17379770638,0.16527337911764708,0.007213386764705882,0.16559018138,0.17856599738,1000
./cpp_eigen3_blas/bin/matmul 1000 1000,0.03783364357999998,0.00174237625712481,0.03753865488,0.15549853500000002,0.012302974875,0.03499259638,0.04317268638,1000
python python_numpy/matmul.py 1000 1000,0.1387693529990476,0.00527967258502619,0.13885421038,0.37103898976190475,0.08725675261904763,0.12765193338,0.14932709338,1000
julia -O0 --startup-file=no --compile=min julia/matmul.jl 1000 1000,0.14994837123,0.004199446562254591,0.15131551588,0.216848035,0.10238435499999998,0.13967281338,0.15484920338,1000
./nim_arraymancer/nim_arraymancer 1000 1000,0.04951330585368422,0.0016153574168887527,0.04953922938,0.13797429552631577,0.022860441842105252,0.04693728438,0.05445061438,1000
