command,mean,stddev,median,user,system,min,max,parameter_size
./rust_peroxide/target/release/rust_peroxide 100 100,0.0007928908773991032,0.00009822383150633846,0.0008118956200000001,0.0007933157847533641,0.0007254874439461887,0.0005165656200000002,0.0012336736200000004,100
./rust_o3/target/release/rust_o3 100 100,0.0022865048193817634,0.0003499430322086127,0.0021873566200000007,0.00746430261205564,0.005922856568778982,0.0020210386200000003,0.006749861620000001,100
./cpp_eigen3/bin/matmul 100 100,0.0013363081331414272,0.00013218223093556207,0.0013550666200000004,0.001198737396745934,0.0008260714893617023,0.0009742506200000004,0.0017439226200000003,100
python python_numpy/matmul.py 100 100,0.09136851271375,0.002312319853554315,0.09110908812000001,0.18039636499999998,0.010665056249999999,0.08792941562,0.09758189162000001,100
julia -O0 --startup-file=no --compile=min julia/matmul.jl 100 100,0.11841686546000002,0.0024151624024464627,0.11945642062000002,0.08711198999999999,0.038975739999999995,0.11208157162000001,0.12087681462000001,100
./rust_peroxide/target/release/rust_peroxide 200 200,0.001901296836288385,0.00010118950016074803,0.00191564362,0.0015623724299065422,0.0008839628571428577,0.0015034566200000004,0.0021681246200000006,200
./rust_o3/target/release/rust_o3 200 200,0.004003321764086023,0.0005388353022902239,0.0039439036200000005,0.012915507290322587,0.017875498537634402,0.0033995006200000007,0.011264147620000001,200
./cpp_eigen3/bin/matmul 200 200,0.003155403785811967,0.0001391272733077628,0.0031646316200000003,0.0023773370769230792,0.001275385504273503,0.00258557862,0.00382471262,200
python python_numpy/matmul.py 200 200,0.09304543433875002,0.003852376505407533,0.09179105712000002,0.18363902124999998,0.017104678749999998,0.08831402962000001,0.10831888162000002,200
julia -O0 --startup-file=no --compile=min julia/matmul.jl 200 200,0.11826578888923081,0.004144091127236724,0.11806499212000002,0.09070660538461538,0.04283780615384614,0.11272061562,0.13142376162000002,200
./rust_peroxide/target/release/rust_peroxide 300 300,0.004055257396447107,0.00022884754358102677,0.00407027362,0.003054693253493017,0.0012871105389221551,0.003309520620000001,0.004558346620000001,300
./rust_o3/target/release/rust_o3 300 300,0.0075569268130835756,0.0006785621262379451,0.007794366620000001,0.026997742161383304,0.04040502484149858,0.005861872620000001,0.01179085262,300
./cpp_eigen3/bin/matmul 300 300,0.006884448237449664,0.00041706864508899707,0.00694922662,0.005443587315436242,0.0015780160402684568,0.00590513362,0.008132228620000001,300
python python_numpy/matmul.py 300 300,0.09405611710387099,0.0030692155256326088,0.09328461262000001,0.19349647387096774,0.016158043225806454,0.08997558362000001,0.10168686962000001,300
julia -O0 --startup-file=no --compile=min julia/matmul.jl 300 300,0.11780389178,0.002020772486739346,0.11825792962000001,0.08906030999999999,0.04670242000000001,0.11403624462000002,0.12019892462000001,300
./rust_peroxide/target/release/rust_peroxide 400 400,0.007302316227361965,0.000360031562815953,0.0073932936200000006,0.005355202147239266,0.0021515572392638038,0.00620627062,0.00958740362,400
./rust_o3/target/release/rust_o3 400 400,0.011418713644390248,0.0005850417746173934,0.01141040162,0.04582461195121951,0.06683159008130084,0.00977187362,0.01355793962,400
./cpp_eigen3/bin/matmul 400 400,0.014284444459195978,0.0006205016122364021,0.014466661620000001,0.012035381959798997,0.0023407239195979914,0.01226129262,0.01539653862,400
python python_numpy/matmul.py 400 400,0.09743131285333333,0.002751999366366841,0.09775593762000001,0.1956217233333333,0.026737760000000003,0.09213199962000002,0.10330821262,400
