command,mean,stddev,median,user,system,min,max,parameter_size
./cpp_eigen3_blas/bin/matmul 100 100,0.006737029343397209,0.0018271499268438455,0.007247989764999999,0.015003067560975605,0.036702389372822275,0.004692265764999998,0.018521746765,100
./cpp_eigen3_blas/bin/matmul 200 200,0.007245929958181812,0.0013716138701106218,0.0076043192649999985,0.017237848787878794,0.03407254166666664,0.005433277764999999,0.013701426764999998,200
./cpp_eigen3_blas/bin/matmul 300 300,0.00860923806921687,0.0014927003996788684,0.009032599265,0.02139553024096385,0.03477193373493977,0.006580803764999999,0.014345269765,300
./cpp_eigen3_blas/bin/matmul 400 400,0.010904284289344568,0.0025514992456671355,0.011130430765,0.030017659138576777,0.03583036610486892,0.008399222764999999,0.035722914765,400
./cpp_eigen3_blas/bin/matmul 500 500,0.014721016459610778,0.0024386881276556084,0.014468303764999997,0.04347645502994013,0.039567926646706594,0.011231661764999998,0.028442449765000002,500
./cpp_eigen3_blas/bin/matmul 600 600,0.0173448360516242,0.0027076598969979506,0.017001054765000002,0.053921976369426756,0.039570447452229304,0.013860038764999997,0.031598087765000005,600
./cpp_eigen3_blas/bin/matmul 700 700,0.021388699972692327,0.002765787245214715,0.021078530265,0.07267828538461535,0.042787057692307694,0.017651563765,0.031559162765,700
./cpp_eigen3_blas/bin/matmul 800 800,0.027704805274999994,0.0052415066416262035,0.026508457765,0.10499211000000004,0.044454310000000004,0.021469977765000002,0.054094780765,800
./cpp_eigen3_blas/bin/matmul 900 900,0.03363620047584338,0.005032688784516703,0.032275635765000005,0.13966053626506028,0.04434128614457831,0.026575341765,0.048873248765,900
./cpp_eigen3_blas/bin/matmul 1000 1000,0.03837010084436508,0.004092687613945824,0.037439863765000005,0.16486444619047613,0.045217297619047615,0.032879196765,0.050210306765000004,1000
