command,mean,stddev,median,user,system,min,max,parameter_size
./cpp_eigen3_default/bin/matmul 100 100,0.0010688382190297526,0.0001437265723309337,0.0010304424699999998,0.0008431733505821474,0.000523670556274256,0.0008330994699999998,0.0019583404699999997,100
./cpp_eigen3_default/bin/matmul 200 200,0.002801804335384616,0.00019452631197837482,0.00275694897,0.0022085356570512834,0.0007265736378205123,0.00242366147,0.00383466647,200
./cpp_eigen3_default/bin/matmul 300 300,0.006638716380979229,0.0003095698747821962,0.006647297470000001,0.005560078264094957,0.0011029945697329378,0.005969059470000001,0.00768381647,300
./cpp_eigen3_default/bin/matmul 400 400,0.013392583098272246,0.00025046222551580407,0.013385847470000002,0.011684621073298424,0.0016999507329842941,0.01253013147,0.01408203747,400
./cpp_eigen3_default/bin/matmul 500 500,0.023157671048512393,0.00048620324300196663,0.02309138847,0.020687928719008254,0.0023897295867768586,0.02212733947,0.025038526470000003,500
./cpp_eigen3_default/bin/matmul 600 600,0.03713803303410258,0.0009781221365192602,0.03745746847,0.03439229807692307,0.002528936923076923,0.03477204647,0.03956136147,600
./cpp_eigen3_default/bin/matmul 700 700,0.05778667039156864,0.0012341462596729912,0.05780483247,0.0544123161764706,0.0031574770588235295,0.05425385547,0.06020418247,700
./cpp_eigen3_default/bin/matmul 800 800,0.08211277974027024,0.0018974017164730052,0.08255588147000001,0.07826940202702702,0.003379861621621621,0.07736426547,0.08689435747,800
./cpp_eigen3_default/bin/matmul 900 900,0.11497286377769234,0.0012029239925717594,0.11510417197,0.11108775961538461,0.003551291538461538,0.10983064247,0.11611879647000001,900
./cpp_eigen3_default/bin/matmul 1000 1000,0.15538438420684214,0.0018426697722550062,0.15575785647,0.15115490131578946,0.003768672105263158,0.14920030847000001,0.15732968347,1000
