command,mean,stddev,median,user,system,min,max,parameter_size
./rust_five/target/release/rust_five 100 100,0.004132813339999996,0.004073314614844556,0.0028423081999999988,0.0021573776000000013,0.001956840900000001,0.0006738066999999988,0.027078298700000003,100
./rust_five/target/release/rust_five 200 200,0.003023930420682301,0.0013882346150192733,0.002441446699999999,0.001777632579957357,0.0017070479637526653,0.0014820716999999987,0.0088431277,200
./rust_five/target/release/rust_five 300 300,0.004952237861048691,0.0017927539170598773,0.004389881699999999,0.003877515655430715,0.002377097640449439,0.0029904916999999986,0.0112268687,300
./rust_five/target/release/rust_five 400 400,0.007389299984444448,0.0022014565427674864,0.0073591787,0.008068502222222223,0.003551368022222221,0.004686888699999999,0.018747498699999997,400
./rust_five/target/release/rust_five 500 500,0.010398089589400918,0.002330631388097076,0.010072925699999999,0.013912109124423963,0.0043988828341013815,0.007178241699999999,0.016951618699999997,500
./rust_five/target/release/rust_five 600 600,0.01448095008695652,0.00298831708972775,0.014439340699999999,0.021283766086956535,0.005763174565217388,0.0103015887,0.0233611927,600
./rust_five/target/release/rust_five 700 700,0.01984303299464285,0.0041779355645660005,0.019058282200000002,0.032045236428571426,0.006957687142857138,0.014057392699999999,0.032559613700000004,700
./rust_five/target/release/rust_five 800 800,0.02725319676521739,0.005365220033069703,0.0262441417,0.046939224782608695,0.008301455000000003,0.0198393677,0.048281001700000006,800
./rust_five/target/release/rust_five 900 900,0.03737568431403509,0.006236446818353219,0.0368772907,0.06982816280701756,0.009362529561403508,0.0269428497,0.054721455700000005,900
./rust_five/target/release/rust_five 1000 1000,0.046556017128571416,0.006685579464356137,0.046334073700000006,0.09590157061224493,0.01221931724489796,0.033616943700000006,0.0599362927,1000
