command,mean,stddev,median,user,system,min,max,parameter_size
./nim_arraymancer/nim_arraymancer 100 100,0.0064714663468891645,0.0012441532331026045,0.006937408094999998,0.013893065163727956,0.032364775856423195,0.0048741510949999985,0.012145970094999998,100
./nim_arraymancer/nim_arraymancer 200 200,0.008238069234737995,0.0015283039033189463,0.008706484094999998,0.016461417423580774,0.03527633124454148,0.006250936094999998,0.019096264094999996,200
./nim_arraymancer/nim_arraymancer 300 300,0.009504948255958903,0.001499102744958823,0.009801856094999999,0.01995961753424658,0.03510400184931503,0.0076287680949999985,0.018082624095,300
./nim_arraymancer/nim_arraymancer 400 400,0.01289309985324175,0.0013920349707160801,0.013027279594999998,0.02605979791208793,0.03671799500000003,0.010730868094999998,0.017277918094999997,400
./nim_arraymancer/nim_arraymancer 500 500,0.01761297600676471,0.0019625844975944854,0.017630997095,0.0372809805882353,0.038820330294117626,0.015084803095,0.030258384095,500
./nim_arraymancer/nim_arraymancer 600 600,0.023241371714047627,0.005627427371994671,0.022045599095,0.05407005523809523,0.04635988785714283,0.017910855094999997,0.054901239095,600
./nim_arraymancer/nim_arraymancer 700 700,0.026361365794029125,0.0023116646901571196,0.026200013095000002,0.06989819543689324,0.0460725872330097,0.022109034095,0.032889228095,700
./nim_arraymancer/nim_arraymancer 800 800,0.03328695517833333,0.005958760343937689,0.031823220095,0.10340080375000005,0.04753844291666668,0.026915423095000002,0.074508254095,800
./nim_arraymancer/nim_arraymancer 900 900,0.04115976321342104,0.006320676772353948,0.040208959094999996,0.13155940736842103,0.052405797631578946,0.036024468095,0.090249241095,900
./nim_arraymancer/nim_arraymancer 1000 1000,0.045974022333095235,0.002777272505467919,0.045557427095,0.15582282111111107,0.05271136007936507,0.041795690095,0.053665293095,1000
