command,mean,stddev,median,user,system,min,max,parameter_size
./rust_o3/target/release/rust_o3 100 100,0.004601388471092548,0.001361924041661773,0.005137101794999999,0.008511748521850902,0.024454989074550123,0.002765809794999999,0.008764936794999999,100
./rust_o3/target/release/rust_o3 200 200,0.007173412845,0.0013651881297413787,0.007562993794999999,0.019281675000000022,0.03802715681818182,0.004715791794999999,0.016105899795,200
./rust_o3/target/release/rust_o3 300 300,0.010007461383932811,0.0015469240432135364,0.010436322795,0.03337841887351779,0.05793869466403159,0.007386915794999999,0.015633873795,300
./rust_o3/target/release/rust_o3 400 400,0.015950054439808743,0.0037171526446014946,0.015423400795,0.060720189754098354,0.09570294672131147,0.011587162795,0.042468801795000004,400
./rust_o3/target/release/rust_o3 500 500,0.02146862449003546,0.001397261175950596,0.021586049795,0.0909451671985815,0.13237125354609922,0.018949486795,0.025622666795,500
./rust_o3/target/release/rust_o3 600 600,0.028521187032623747,0.0017683267125017889,0.028721764795,0.1310982037128713,0.17380453217821784,0.024453890795,0.032975542795,600
./rust_o3/target/release/rust_o3 700 700,0.03672091799981927,0.0016148769226384976,0.036801199795,0.17679590632530118,0.22371703915662647,0.033109063795,0.039816219795,700
./rust_o3/target/release/rust_o3 800 800,0.045921992479210506,0.0018011463289904549,0.045599129795,0.23197749605263157,0.2758079078947368,0.042167969795,0.050350535795000005,800
./rust_o3/target/release/rust_o3 900 900,0.05789630313499998,0.001905326568517736,0.057559103295000004,0.305303195,0.34211918999999985,0.053891496795,0.06344656979499999,900
./rust_o3/target/release/rust_o3 1000 1000,0.07169584213710527,0.0033765577475649575,0.07163645979500001,0.38451160131578954,0.4205658815789473,0.06712127979500002,0.08600630579500002,1000
