command,mean,stddev,median,user,system,min,max,parameter_size
./rust_peroxide/target/release/rust_peroxide 100 100,0.0006589287628654397,0.00014752455816210815,0.0006235458799999992,0.0005166667957405612,0.0004924491190706676,0.0004609288799999993,0.001712464879999999,100
./rust_peroxide/target/release/rust_peroxide 200 200,0.001666792340256409,0.00016483424222207753,0.0016336583799999992,0.0011264982051282042,0.0007268060897435901,0.0014313828799999992,0.0026026088799999997,200
./rust_peroxide/target/release/rust_peroxide 300 300,0.0038521445957258103,0.00020700427526880073,0.0038188703799999996,0.0028820282258064504,0.0010419230846774189,0.0033841568799999997,0.00492453788,300
./rust_peroxide/target/release/rust_peroxide 400 400,0.007258190638112096,0.00035947858917433415,0.007235259880000001,0.005881441297935104,0.001374073746312684,0.00642465788,0.00869429888,400
./rust_peroxide/target/release/rust_peroxide 500 500,0.012589020419170505,0.0005388904284996158,0.012527726880000001,0.010425031336405531,0.002047510138248847,0.01084599988,0.014003318879999999,500
./rust_peroxide/target/release/rust_peroxide 600 600,0.019644186629999998,0.0008002849476890304,0.01974600988,0.01657713717948719,0.0029397372435897434,0.01664450888,0.021363070879999998,600
./rust_peroxide/target/release/rust_peroxide 700 700,0.027877504803076915,0.001596130096098988,0.02799385188,0.024924486538461542,0.002807320576923078,0.02444274188,0.031165670880000003,700
./rust_peroxide/target/release/rust_peroxide 800 800,0.03984597132736841,0.001082100308591613,0.04000144238,0.03670064999999998,0.0029863102631578946,0.03646673188,0.04201342688,800
./rust_peroxide/target/release/rust_peroxide 900 900,0.0557198974157143,0.0018206658494561915,0.05600789488,0.05114306071428571,0.004314027142857143,0.04885374488,0.05853847988,900
./rust_peroxide/target/release/rust_peroxide 1000 1000,0.07228974512999999,0.0034843226663859627,0.07208125388,0.06747324090909092,0.004541329090909091,0.06457265288000001,0.07918369788000001,1000
